,CarData Element,Description,Category,Name,,,Technical descriptor,Data type,Typical value range,Unit,Streamable,,,,,
315,Time of most recent drive,"The time stamp contains the date and local time of the most recently logged and transmitted drive, for example 15.05.2017 15:51:00 UTC or 05/15/2017 15:51:00 UTC.",Trip,Last trip time,,,vehicle.​trip.​segment.​end.​time,int32,dd.mm.yyyy hh:mm:ss UTC or mm/dd/yyyy hh:mm:ss UTC,-,,,,"""vehicle.​trip.​segment.​end.​time"": ""Trip Last trip time"",",,"""vehicle.​trip.​segment.​end.​time"": ""Trip Last trip time"","
316,Mileage after last drive,This value indicates the total mileage after the last drive logged.,Trip,Last trip distance,,,vehicle.​trip.​segment.​end.​travelledDistance,float,0 km to 999999 km or 0 mi to 621371 mi,-,,,,"""vehicle.​trip.​segment.​end.​travelledDistance"": ""Trip Last trip distance"",",,"""vehicle.​trip.​segment.​end.​travelledDistance"": ""Trip Last trip distance"","
318,AntiTheftAlarm activation time,Timestamp of the last alarm activation time. The value comes without timezone information.,Alarm,activation time,,,vehicle.​vehicle.​antiTheftAlarmSystem.​alarm.​activationTime,string,-,-,,,,"""vehicle.​vehicle.​antiTheftAlarmSystem.​alarm.​activationTime"": ""Alarm activation time"",",,"""vehicle.​vehicle.​antiTheftAlarmSystem.​alarm.​activationTime"": ""Alarm activation time"","
319,AntiTheftAlarm arm status,Anti theft alarm. Arming status.,Alarm,arming state,,,vehicle.​vehicle.​antiTheftAlarmSystem.​alarm.​armStatus,string,"unarmed, doorsOnly, doorsTiltCabin",-,,,,"""vehicle.​vehicle.​antiTheftAlarmSystem.​alarm.​armStatus"": ""Alarm arming state"",",,"""vehicle.​vehicle.​antiTheftAlarmSystem.​alarm.​armStatus"": ""Alarm arming state"","
320,AntiTheftAlarm is on,Anti theft alarm is active (car is honking).,Alarm,active,,,vehicle.​vehicle.​antiTheftAlarmSystem.​alarm.​isOn,boolean,"true, false",-,,,,"""vehicle.​vehicle.​antiTheftAlarmSystem.​alarm.​isOn"": ""Alarm active"",",,"""vehicle.​vehicle.​antiTheftAlarmSystem.​alarm.​isOn"": ""Alarm active"","
322,Average distance per week (long-life),This value indicates the weekly average travelled in kilometres or miles over a period of 2 months.,Trip,Average distance per week (long-term),,,vehicle.​vehicle.​averageWeeklyDistanceLongTerm,float,1 km to 3000 km or 1 mi to 1864 mi,-,,,,"""vehicle.​vehicle.​averageWeeklyDistanceLongTerm"": ""Trip Average distance per week (long-term)"",",,"""vehicle.​vehicle.​averageWeeklyDistanceLongTerm"": ""Trip Average distance per week (long-term)"","
323,Average distance per week,This indicates the average volume of the distance travelled in kilometres or miles per week.,Trip,Average distance per week,,,vehicle.​vehicle.​averageWeeklyDistanceShortTerm,float,1 km to 3000 km or 1 mi to 1864 mi,-,,,,"""vehicle.​vehicle.​averageWeeklyDistanceShortTerm"": ""Trip Average distance per week"",",,"""vehicle.​vehicle.​averageWeeklyDistanceShortTerm"": ""Trip Average distance per week"","
325,Auxiliary user power (power consumption of electrical components),This value indicates the power of the auxiliary users in kW at the time of data collection. This is the on-board power consumption including the power for the air conditioning.,Vehicle,Auxiliary power,,,vehicle.​vehicle.​avgAuxPower,float,"0 kW to 655,34 kW, INVALID",kW,,,,"""vehicle.​vehicle.​avgAuxPower"": ""Vehicle Auxiliary power"",",,"""vehicle.​vehicle.​avgAuxPower"": ""Vehicle Auxiliary power"","
327,Average speed,The value indicates the average speed driven by the vehicle in km/h or mph at the time of data collection.,Speed,average,,,vehicle.​vehicle.​avgSpeed,uint16,"0 km/h to 300 km/h or 0 mph to 186 mph, INVALID",km/h,,,,"""vehicle.​vehicle.​avgSpeed"": ""Speed average"",",,"""vehicle.​vehicle.​avgSpeed"": ""Speed average"","
329,Deep Sleep Mode,"This value indicates whether Deep Sleep Mode is activated (“true”) or deactivated (“false”) at the time of the request. If the customer has activated Deep Sleep Mode, the vehicle can be parked for a longer time without charging the battery. In this mode, most consumers are deactivated to save energy. The customer can end Deep Sleep Mode by deactivating it or starting the vehicle.",Vehicle,deep sleep mode,,,vehicle.​vehicle.​deepSleepModeActive,boolean,"true, false",-,,,,"""vehicle.​vehicle.​deepSleepModeActive"": ""Vehicle deep sleep mode"",",,"""vehicle.​vehicle.​deepSleepModeActive"": ""Vehicle deep sleep mode"","
331,Pre-conditioning status of the stationary air conditioning,Current status of the pre-conditioning of the stationary air conditioning before commencing travel at the time of data collection. The value “Inactive” may be transmitted if the pre-conditioning has not been booked or if the pre-conditioning is not active at the time of data collection.,Preconditioning,state,,,vehicle.​vehicle.​preConditioning.​activity,string,"standby, heating, cooling, ventilation, inactive",-,,,,"""vehicle.​vehicle.​preConditioning.​activity"": ""Preconditioning state"",",,"""vehicle.​vehicle.​preConditioning.​activity"": ""Preconditioning state"","
332,Reason for not carrying out pre-conditioning of the stationary air conditioning,Reason for not carrying out pre-conditioning of the stationary air conditioning at the time of data collection.,Preconditioning,error reason,,,vehicle.​vehicle.​preConditioning.​error,string,"LowFuel, LowBattery, QuotaExceeded, HeaterFailure, ComponentFailure, OpenOrUnlocked, OK, INVALID",-,,,,"""vehicle.​vehicle.​preConditioning.​error"": ""Preconditioning error reason"",",,"""vehicle.​vehicle.​preConditioning.​error"": ""Preconditioning error reason"","
333,Use of engine for pre-conditioning,This value indicates whether the engine was active during pre-conditioning of the stationary air conditioning at the time of data collection. The value “Inactive” may be transmitted if the pre-conditioning has not been booked or if the pre-conditioning is not active at the time of data collection.,Preconditioning,engine used,,,vehicle.​vehicle.​preConditioning.​isRemoteEngineRunning,boolean,"true, false",-,,,,"""vehicle.​vehicle.​preConditioning.​isRemoteEngineRunning"": ""Preconditioning engine used"",",,"""vehicle.​vehicle.​preConditioning.​isRemoteEngineRunning"": ""Preconditioning engine used"","
334,Permission to use the engine for pre-conditioning,This value indicated whether permission was granted to use the engine for the pre-conditioning of the stationary air conditioning at the time of data collection. This is determined by the customer.,Preconditioning,engine use allowed,,,vehicle.​vehicle.​preConditioning.​isRemoteEngineStartAllowed,boolean,"true, false, INVALID",-,,,,"""vehicle.​vehicle.​preConditioning.​isRemoteEngineStartAllowed"": ""Preconditioning engine use allowed"",",,"""vehicle.​vehicle.​preConditioning.​isRemoteEngineStartAllowed"": ""Preconditioning engine use allowed"","
335,Remaining duration of pre-conditioning,This value indicates the remaining duration for the pre-conditioning of the stationary air conditioning in minutes at the time of data collection. This value may also be transmitted if the pre-conditioning has not been booked or if the pre-conditioning status of the stationary air conditioning is not active (“inactive”) at the time of data collection.,Preconditioning,remaining  time,,,vehicle.​vehicle.​preConditioning.​remainingTime,uint8,"0-60 min, INVALID",min,,,,"""vehicle.​vehicle.​preConditioning.​remainingTime"": ""Preconditioning remaining  time"",",,"""vehicle.​vehicle.​preConditioning.​remainingTime"": ""Preconditioning remaining  time"","
337,Speed range lower,Lower bound of the speed range in km/h. The Range includes the lower bound. Due to privacy reasons some functions are not allowed to transmit the current driving speed and should use the SpeedRange attribute.,Speed,lower range,,,vehicle.​vehicle.​speedRange.​lowerBound,int16,-100 km/h - 500 km/h,km/h,,,,"""vehicle.​vehicle.​speedRange.​lowerBound"": ""Speed lower range"",",,"""vehicle.​vehicle.​speedRange.​lowerBound"": ""Speed lower range"","
338,Speed range upper,Upper bound of the speed range in km/h. The Range excludes the upper bound. Due to privacy reasons some functions are not allowed to transmit the current driving speed and should use the SpeedRange attribute.,Speed,upper range,,,vehicle.​vehicle.​speedRange.​upperBound,int16,-100 km/h - 500 km/h,km/h,,,,"""vehicle.​vehicle.​speedRange.​upperBound"": ""Speed upper range"",",,"""vehicle.​vehicle.​speedRange.​upperBound"": ""Speed upper range"","
340,Time zone setting in the vehicle,"This value indicates the current setting for the time display in the vehicle at the time of data collection. For example, this may be winter time, summer time, UTC or manual.",Vehicle Info,Time zone setting,,,vehicle.​vehicle.​timeSetting,string,"wintertime, summertime, utc, manual, INVALID",-,,,,"""vehicle.​vehicle.​timeSetting"": ""Vehicle Info Time zone setting"",",,"""vehicle.​vehicle.​timeSetting"": ""Vehicle Info Time zone setting"","
342,Mileage,The value indicates the current mileage at the time of data collection.,Vehicle,mileage,,,vehicle.​vehicle.​travelledDistance,float,0 km to 500000 km or 0 mi to 310686 mi,,,,,"""vehicle.​vehicle.​travelledDistance"": ""Vehicle mileage"",",,"""vehicle.​vehicle.​travelledDistance"": ""Vehicle mileage"","
345,Basic vehicle data,"This value indicates a list of basic vehicle data, e.g. vehicle brand and full model name.",Vehicle Info,Basic vehicle data,,,vehicle.​vehicleIdentification.​basicVehicleData,-,Details can be found in the corresponding Swagger documentation: ../basicData,-,,,,"""vehicle.​vehicleIdentification.​basicVehicleData"": ""Vehicle Info Basic vehicle data"",",,"""vehicle.​vehicleIdentification.​basicVehicleData"": ""Vehicle Info Basic vehicle data"","
344,Active ConnectedDrive contracts,This value provides an overview of all active ConnectedDrive contracts and the end of the respective contract period.,Legal,Connected drive contracts,,,vehicle.​vehicleIdentification.​connectedDriveContractList,-,yyyy-mm-dd hh:mm:ss UTC,-,,,,"""vehicle.​vehicleIdentification.​connectedDriveContractList"": ""Legal Connected drive contracts"",",,"""vehicle.​vehicleIdentification.​connectedDriveContractList"": ""Legal Connected drive contracts"","
11,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,
